filename,source,file_type,year,topic_keyword,url,scrape_status,category
2014-15-Possibilities-and-Constraints-in-Adoption-of-Alternative-Crops-to-Paddy-in-Haryana.pdf,DAFW,PDF,Unknown,2014-15-Possibilities-and-Constraints-in-Adoption-,https://desagri.gov.in/wp-content/uploads/2024/03/2014-15-Possibilities-and-Constraints-in-Adoption-of-Alternative-Crops-to-Paddy-in-Haryana.pdf,✅ (cached),pdfs
2014-15-Problems-and-Prospects-of-Oilseeds-Production-in-India-1.pdf,DAFW,PDF,Unknown,2014-15-Problems-and-Prospects-of-Oilseeds-Product,https://desagri.gov.in/wp-content/uploads/2024/04/2014-15-Problems-and-Prospects-of-Oilseeds-Production-in-India-1.pdf,✅,pdfs
2014-15-Problems-and-Prospects-of-Oilseeds-Production-in-India.pdf,DAFW,PDF,Unknown,2014-15-Problems-and-Prospects-of-Oilseeds-Product,https://desagri.gov.in/wp-content/uploads/2024/04/2014-15-Problems-and-Prospects-of-Oilseeds-Production-in-India.pdf,✅,pdfs
2015-16-ADOPTION-OF-RECOMMENDED-DOSE-OF-FERTILIZER-ON-SOIL-TEST-BASED-BY-FARMERS-IN-KARNATAKA.pdf,DAFW,PDF,Unknown,2015-16-ADOPTION-OF-RECOMMENDED-DOSE-OF-FERTILIZER,https://desagri.gov.in/wp-content/uploads/2024/04/2015-16-ADOPTION-OF-RECOMMENDED-DOSE-OF-FERTILIZER-ON-SOIL-TEST-BASED-BY-FARMERS-IN-KARNATAKA.pdf,✅,pdfs
2015-16-Adoption-of-Recommended-Doses-of-Fertilizers-on-Soil-Test-Basis-by-Farmers.pdf,DAFW,PDF,Unknown,2015-16-Adoption-of-Recommended-Doses-of-Fertilize,https://desagri.gov.in/wp-content/uploads/2024/03/2015-16-Adoption-of-Recommended-Doses-of-Fertilizers-on-Soil-Test-Basis-by-Farmers.pdf,✅ (cached),pdfs
2015-16-Assessment-of-Marketed-and-Marketable-Surplus-of-Major-Foodgrains-in-India-1.pdf,DAFW,PDF,Unknown,2015-16-Assessment-of-Marketed-and-Marketable-Surp,https://desagri.gov.in/wp-content/uploads/2024/03/2015-16-Assessment-of-Marketed-and-Marketable-Surplus-of-Major-Foodgrains-in-India-1.pdf,✅,pdfs
2015-16-Assessment-of-Marketed-and-Marketable-Surplus-of-Major-Foodgrains-in-India.pdf,DAFW,PDF,Unknown,2015-16-Assessment-of-Marketed-and-Marketable-Surp,https://desagri.gov.in/wp-content/uploads/2024/04/2015-16-Assessment-of-Marketed-and-Marketable-Surplus-of-Major-Foodgrains-in-India.pdf,✅,pdfs
2015-16-IMPACT-OF-SOIL-HEALTH-CARD-SCHEME-ON-PRODUCTION-PRODUCTIVITY-AND-SOIL-HEALTH-IN-INDIA-compressed.pdf,DAFW,PDF,Unknown,2015-16-IMPACT-OF-SOIL-HEALTH-CARD-SCHEME-ON-PRODU,https://desagri.gov.in/wp-content/uploads/2024/04/2015-16-IMPACT-OF-SOIL-HEALTH-CARD-SCHEME-ON-PRODUCTION-PRODUCTIVITY-AND-SOIL-HEALTH-IN-INDIA-compressed.pdf,✅,pdfs
2015-16-IMPACT-OF-SOIL-HEALTH-CARD-SCHEME-ON-PRODUCTION-PRODUCTIVITY-AND-SOIL-HEALTH-IN-INDIA.pdf,DAFW,PDF,Unknown,2015-16-IMPACT-OF-SOIL-HEALTH-CARD-SCHEME-ON-PRODU,https://desagri.gov.in/wp-content/uploads/2024/04/2015-16-IMPACT-OF-SOIL-HEALTH-CARD-SCHEME-ON-PRODUCTION-PRODUCTIVITY-AND-SOIL-HEALTH-IN-INDIA.pdf,✅,pdfs
2015-16_-Enhancing-Rice-Productivity-and-Food-Security-Adoption-of-the-System-of-Rice-Intensification-SRI-in-India.pdf,DAFW,PDF,Unknown,2015-16 -Enhancing-Rice-Productivity-and-Food-Secu,https://desagri.gov.in/wp-content/uploads/2024/03/2015-16_-Enhancing-Rice-Productivity-and-Food-Security-Adoption-of-the-System-of-Rice-Intensification-SRI-in-India.pdf,✅ (cached),pdfs
2016-17-ADOPTION-OF-RECOMMENDED-DOSES-OF-FERTILISERS-ON-SOIL-TEST-BASIS-IN-ANDHRA.pdf,DAFW,PDF,Unknown,2016-17-ADOPTION-OF-RECOMMENDED-DOSES-OF-FERTILISE,https://desagri.gov.in/wp-content/uploads/2024/03/2016-17-ADOPTION-OF-RECOMMENDED-DOSES-OF-FERTILISERS-ON-SOIL-TEST-BASIS-IN-ANDHRA.pdf,✅ (cached),pdfs
2016-17-Economic-Analysis-of-Cost-and-Return-of-Off-Season-Vegetables-with-Focus-on-Polyhouse-Effect-in-Himachal-Pradesh.pdf,DAFW,PDF,Unknown,2016-17-Economic-Analysis-of-Cost-and-Return-of-Of,https://desagri.gov.in/wp-content/uploads/2024/04/2016-17-Economic-Analysis-of-Cost-and-Return-of-Off-Season-Vegetables-with-Focus-on-Polyhouse-Effect-in-Himachal-Pradesh.pdf,✅,pdfs
2016-17-Economic-Analysis-of-Cost-and-Return-of-Off-Season-Vegetables-with-Focus-on-Polyhouse-Effect-in-Jammu-Kashmir.pdf,DAFW,PDF,Unknown,2016-17-Economic-Analysis-of-Cost-and-Return-of-Of,https://desagri.gov.in/wp-content/uploads/2024/04/2016-17-Economic-Analysis-of-Cost-and-Return-of-Off-Season-Vegetables-with-Focus-on-Polyhouse-Effect-in-Jammu-Kashmir.pdf,✅,pdfs
2016-17-Estimation-of-Losses-to-Pulse-Crops-by-Blue-Bulls-in-Uttar-Pradesh.pdf,DAFW,PDF,Unknown,2016-17-Estimation-of-Losses-to-Pulse-Crops-by-Blu,https://desagri.gov.in/wp-content/uploads/2024/03/2016-17-Estimation-of-Losses-to-Pulse-Crops-by-Blue-Bulls-in-Uttar-Pradesh.pdf,✅,pdfs
2016-17-Impact-of-Neem-coated-Urea-A-Case-of-Sugarcane-and-Tur-in-Selected-Districts-of-Maharashtra-1.pdf,DAFW,PDF,Unknown,2016-17-Impact-of-Neem-coated-Urea-A-Case-of-Sugar,https://desagri.gov.in/wp-content/uploads/2024/04/2016-17-Impact-of-Neem-coated-Urea-A-Case-of-Sugarcane-and-Tur-in-Selected-Districts-of-Maharashtra-1.pdf,✅,pdfs
2016-17-Impact-of-Neem-coated-Urea-A-Case-of-Sugarcane-and-Tur-in-Selected-Districts-of-Maharashtra.pdf,DAFW,PDF,Unknown,2016-17-Impact-of-Neem-coated-Urea-A-Case-of-Sugar,https://desagri.gov.in/wp-content/uploads/2024/04/2016-17-Impact-of-Neem-coated-Urea-A-Case-of-Sugarcane-and-Tur-in-Selected-Districts-of-Maharashtra.pdf,✅,pdfs
2016-17-IMPACT-OF-NEEM-COATED-UREA-ON-PRODUCTION-PRODUCTIVITY-AND-SOIL-HEALTH-IN-BIHAR.pdf,DAFW,PDF,Unknown,2016-17-IMPACT-OF-NEEM-COATED-UREA-ON-PRODUCTION-P,https://desagri.gov.in/wp-content/uploads/2024/04/2016-17-IMPACT-OF-NEEM-COATED-UREA-ON-PRODUCTION-PRODUCTIVITY-AND-SOIL-HEALTH-IN-BIHAR.pdf,✅,pdfs
2016-17-Impact-of-Neem-Coated-Urea-on-Production-Productivity-and-Soil-Health-In-Punjab-1.pdf,DAFW,PDF,Unknown,2016-17-Impact-of-Neem-Coated-Urea-on-Production-P,https://desagri.gov.in/wp-content/uploads/2024/04/2016-17-Impact-of-Neem-Coated-Urea-on-Production-Productivity-and-Soil-Health-In-Punjab-1.pdf,✅,pdfs
2016-17-Impact-of-Neem-Coated-Urea-on-Production-Productivity-and-Soil-Health-In-Punjab.pdf,DAFW,PDF,Unknown,2016-17-Impact-of-Neem-Coated-Urea-on-Production-P,https://desagri.gov.in/wp-content/uploads/2024/04/2016-17-Impact-of-Neem-Coated-Urea-on-Production-Productivity-and-Soil-Health-In-Punjab.pdf,✅,pdfs
2016-17-Impact-of-NFSM-on-Input-use-Production-Productivity-and-Income-in-Andhra-Pradesh-1.pdf,DAFW,PDF,Unknown,2016-17-Impact-of-NFSM-on-Input-use-Production-Pro,https://desagri.gov.in/wp-content/uploads/2024/04/2016-17-Impact-of-NFSM-on-Input-use-Production-Productivity-and-Income-in-Andhra-Pradesh-1.pdf,✅,pdfs
2016-17-Impact-of-NFSM-on-Input-use-Production-Productivity-and-Income-in-Andhra-Pradesh.pdf,DAFW,PDF,Unknown,2016-17-Impact-of-NFSM-on-Input-use-Production-Pro,https://desagri.gov.in/wp-content/uploads/2024/04/2016-17-Impact-of-NFSM-on-Input-use-Production-Productivity-and-Income-in-Andhra-Pradesh.pdf,✅,pdfs
2016-17-Indigenous-rice-varieties-in-Sundarban-delta-and-role-in-local-food-security-in-the-face-of-climate-threa.pdf,DAFW,PDF,Unknown,2016-17-Indigenous-rice-varieties-in-Sundarban-del,https://desagri.gov.in/wp-content/uploads/2024/03/2016-17-Indigenous-rice-varieties-in-Sundarban-delta-and-role-in-local-food-security-in-the-face-of-climate-threa.pdf,✅ (cached),pdfs
2016-17-Working-of-Pressurized-Irrigation-Network-Systems-in-Gujarat.pdf,DAFW,PDF,Unknown,2016-17-Working-of-Pressurized-Irrigation-Network-,https://desagri.gov.in/wp-content/uploads/2024/03/2016-17-Working-of-Pressurized-Irrigation-Network-Systems-in-Gujarat.pdf,✅ (cached),pdfs
2017-18-Agri-Clinics-Agri-Business-Centres-ACABC-Scheme-–-A-Case-Study-of-Telangana.pdf,DAFW,PDF,Unknown,2017-18-Agri-Clinics-Agri-Business-Centres-ACABC-S,https://desagri.gov.in/wp-content/uploads/2024/03/2017-18-Agri-Clinics-Agri-Business-Centres-ACABC-Scheme-–-A-Case-Study-of-Telangana.pdf,✅ (cached),pdfs
2017-18-An-Economic-Analysis-of-Protected-Cultivation-under-MIDH-in-Himalayan-States.pdf,DAFW,PDF,Unknown,2017-18-An-Economic-Analysis-of-Protected-Cultivat,https://desagri.gov.in/wp-content/uploads/2024/04/2017-18-An-Economic-Analysis-of-Protected-Cultivation-under-MIDH-in-Himalayan-States.pdf,✅,pdfs
2017-18-Economic-Analysis-of-Cost-and-Return-of-Off-Season-Vegetables-with-Focus-on-Polyhouse-Effect-Consolidated-Report.pdf,DAFW,PDF,Unknown,2017-18-Economic-Analysis-of-Cost-and-Return-of-Of,https://desagri.gov.in/wp-content/uploads/2024/04/2017-18-Economic-Analysis-of-Cost-and-Return-of-Off-Season-Vegetables-with-Focus-on-Polyhouse-Effect-Consolidated-Report.pdf,✅,pdfs
2017-18-Food-Inflation-at-National-and-State-Level-–-Trends-and-Determinants-1.pdf,DAFW,PDF,Unknown,2017-18-Food-Inflation-at-National-and-State-Level,https://desagri.gov.in/wp-content/uploads/2024/04/2017-18-Food-Inflation-at-National-and-State-Level-–-Trends-and-Determinants-1.pdf,✅,pdfs
2017-18-Food-Inflation-at-National-and-State-Level-–-Trends-and-Determinants.pdf,DAFW,PDF,Unknown,2017-18-Food-Inflation-at-National-and-State-Level,https://desagri.gov.in/wp-content/uploads/2024/04/2017-18-Food-Inflation-at-National-and-State-Level-–-Trends-and-Determinants.pdf,✅,pdfs
2017-18-IMPACT-OF-NEEM-COATED-UREA-ON-PRODUCTION-PRODUCTIVITY-AND-SOIL-HEALTH-IN-INDIA-1.pdf,DAFW,PDF,Unknown,2017-18-IMPACT-OF-NEEM-COATED-UREA-ON-PRODUCTION-P,https://desagri.gov.in/wp-content/uploads/2024/04/2017-18-IMPACT-OF-NEEM-COATED-UREA-ON-PRODUCTION-PRODUCTIVITY-AND-SOIL-HEALTH-IN-INDIA-1.pdf,✅,pdfs
2017-18-IMPACT-OF-NEEM-COATED-UREA-ON-PRODUCTION-PRODUCTIVITY-AND-SOIL-HEALTH-IN-INDIA.pdf,DAFW,PDF,Unknown,2017-18-IMPACT-OF-NEEM-COATED-UREA-ON-PRODUCTION-P,https://desagri.gov.in/wp-content/uploads/2024/04/2017-18-IMPACT-OF-NEEM-COATED-UREA-ON-PRODUCTION-PRODUCTIVITY-AND-SOIL-HEALTH-IN-INDIA.pdf,✅,pdfs
2017-18-IMPACT-OF-NEEM-COATED-UREA-ON-PRODUCTION-PRODUCTIVITY-AND-SOIL-HEALTH-IN-KARNATAKA-1.pdf,DAFW,PDF,Unknown,2017-18-IMPACT-OF-NEEM-COATED-UREA-ON-PRODUCTION-P,https://desagri.gov.in/wp-content/uploads/2024/04/2017-18-IMPACT-OF-NEEM-COATED-UREA-ON-PRODUCTION-PRODUCTIVITY-AND-SOIL-HEALTH-IN-KARNATAKA-1.pdf,✅,pdfs
2017-18-IMPACT-OF-NEEM-COATED-UREA-ON-PRODUCTION-PRODUCTIVITY-AND-SOIL-HEALTH-IN-KARNATAKA.pdf,DAFW,PDF,Unknown,2017-18-IMPACT-OF-NEEM-COATED-UREA-ON-PRODUCTION-P,https://desagri.gov.in/wp-content/uploads/2024/04/2017-18-IMPACT-OF-NEEM-COATED-UREA-ON-PRODUCTION-PRODUCTIVITY-AND-SOIL-HEALTH-IN-KARNATAKA.pdf,✅,pdfs
2017-18-Impact-of-Soil-Health-Card-Scheme-on-Production-Productivity-and-soil-Health-in-Maharashtra-1.pdf,DAFW,PDF,Unknown,2017-18-Impact-of-Soil-Health-Card-Scheme-on-Produ,https://desagri.gov.in/wp-content/uploads/2024/04/2017-18-Impact-of-Soil-Health-Card-Scheme-on-Production-Productivity-and-soil-Health-in-Maharashtra-1.pdf,✅,pdfs
2017-18-Impact-of-Soil-Health-Card-Scheme-on-Production-Productivity-and-soil-Health-in-Maharashtra.pdf,DAFW,PDF,Unknown,2017-18-Impact-of-Soil-Health-Card-Scheme-on-Produ,https://desagri.gov.in/wp-content/uploads/2024/04/2017-18-Impact-of-Soil-Health-Card-Scheme-on-Production-Productivity-and-soil-Health-in-Maharashtra.pdf,✅,pdfs
2017-18-Kisan-Call-Centre-KCC-Kisan-Knowledge-Management-System-Farmer-Portal-and-M-Kisan-Portal-in-Karnataka.pdf,DAFW,PDF,Unknown,2017-18-Kisan-Call-Centre-KCC-Kisan-Knowledge-Mana,https://desagri.gov.in/wp-content/uploads/2024/04/2017-18-Kisan-Call-Centre-KCC-Kisan-Knowledge-Management-System-Farmer-Portal-and-M-Kisan-Portal-in-Karnataka.pdf,✅,pdfs
2017-18-LITCHI-PRODUCTION-MARKETING-AND-PROCESSING-IN-BIHAR-AND-INDIA.pdf,DAFW,PDF,Unknown,2017-18-LITCHI-PRODUCTION-MARKETING-AND-PROCESSING,https://desagri.gov.in/wp-content/uploads/2024/03/2017-18-LITCHI-PRODUCTION-MARKETING-AND-PROCESSING-IN-BIHAR-AND-INDIA.pdf,✅ (cached),pdfs
2017-18-Performance-of-Indigenous-and-Imported-seedlings-of-Oil-Palm-in-Andhra-1.pdf,DAFW,PDF,Unknown,2017-18-Performance-of-Indigenous-and-Imported-see,https://desagri.gov.in/wp-content/uploads/2024/04/2017-18-Performance-of-Indigenous-and-Imported-seedlings-of-Oil-Palm-in-Andhra-1.pdf,✅,pdfs
2017-18-Performance-of-Indigenous-and-Imported-seedlings-of-Oil-Palm-in-Andhra.pdf,DAFW,PDF,Unknown,2017-18-Performance-of-Indigenous-and-Imported-see,https://desagri.gov.in/wp-content/uploads/2024/04/2017-18-Performance-of-Indigenous-and-Imported-seedlings-of-Oil-Palm-in-Andhra.pdf,✅,pdfs
2017-18-RELATIONSHIP-BETWEEN-WHOLESALE-PRICES-RETAIL-PRICES-EXPORT-PRICES-PRICES-REALIZED-BY-FARMERS.pdf,DAFW,PDF,Unknown,2017-18-RELATIONSHIP-BETWEEN-WHOLESALE-PRICES-RETA,https://desagri.gov.in/wp-content/uploads/2024/03/2017-18-RELATIONSHIP-BETWEEN-WHOLESALE-PRICES-RETAIL-PRICES-EXPORT-PRICES-PRICES-REALIZED-BY-FARMERS.pdf,✅ (cached),pdfs
2017-18-Study-of-Kisan-Call-Centre-KCC-Kisan-Knowledge-Management-System-Farmers-Portal-and-M-Kisan-Portal.pdf,DAFW,PDF,Unknown,2017-18-Study-of-Kisan-Call-Centre-KCC-Kisan-Knowl,https://desagri.gov.in/wp-content/uploads/2024/03/2017-18-Study-of-Kisan-Call-Centre-KCC-Kisan-Knowledge-Management-System-Farmers-Portal-and-M-Kisan-Portal.pdf,✅ (cached),pdfs
2017-18-Working-of-Pressurised-Irrigation-Network-Systems-PINS-in-Telangana.pdf,DAFW,PDF,Unknown,2017-18-Working-of-Pressurised-Irrigation-Network-,https://desagri.gov.in/wp-content/uploads/2024/03/2017-18-Working-of-Pressurised-Irrigation-Network-Systems-PINS-in-Telangana.pdf,✅ (cached),pdfs
2017-18-Working-of-Pressurized-Irrigation-Network-Systems-in-India.pdf,DAFW,PDF,Unknown,2017-18-Working-of-Pressurized-Irrigation-Network-,https://desagri.gov.in/wp-content/uploads/2024/03/2017-18-Working-of-Pressurized-Irrigation-Network-Systems-in-India.pdf,✅ (cached),pdfs
2018-19-A-comprehensive-study-on-the-issue-of-coconut-production-in-Karnataka.pdf,DAFW,PDF,Unknown,2018-19-A-comprehensive-study-on-the-issue-of-coco,https://desagri.gov.in/wp-content/uploads/2024/04/2018-19-A-comprehensive-study-on-the-issue-of-coconut-production-in-Karnataka.pdf,✅,pdfs
2018-19-An-Analysis-of-Supply-Chain-of-Maize-Marketing-and-Possibility-of-its-Value-Addition-in-Bihar-1.pdf,DAFW,PDF,Unknown,2018-19-An-Analysis-of-Supply-Chain-of-Maize-Marke,https://desagri.gov.in/wp-content/uploads/2024/03/2018-19-An-Analysis-of-Supply-Chain-of-Maize-Marketing-and-Possibility-of-its-Value-Addition-in-Bihar-1.pdf,✅,pdfs
2018-19-An-Analysis-of-Supply-Chain-of-Maize-Marketing-and-Possibility-of-its-Value-Addition-in-Bihar-2.pdf,DAFW,PDF,Unknown,2018-19-An-Analysis-of-Supply-Chain-of-Maize-Marke,https://desagri.gov.in/wp-content/uploads/2024/03/2018-19-An-Analysis-of-Supply-Chain-of-Maize-Marketing-and-Possibility-of-its-Value-Addition-in-Bihar-2.pdf,✅,pdfs
2018-19-AN-ANALYSIS-OF-SUPPLY-CHAIN-OF-MAIZE-MARKETING-AND-POSSIBILITY-OF-ITS-VALUE-ADDITION-IN-ODISHA-STATE.pdf,DAFW,PDF,Unknown,2018-19-AN-ANALYSIS-OF-SUPPLY-CHAIN-OF-MAIZE-MARKE,https://desagri.gov.in/wp-content/uploads/2024/03/2018-19-AN-ANALYSIS-OF-SUPPLY-CHAIN-OF-MAIZE-MARKETING-AND-POSSIBILITY-OF-ITS-VALUE-ADDITION-IN-ODISHA-STATE.pdf,✅ (cached),pdfs
2018-19-Assessment-of-the-Status-of-Dairying.pdf,DAFW,PDF,Unknown,2018-19-Assessment-of-the-Status-of-Dairying,https://desagri.gov.in/wp-content/uploads/2024/03/2018-19-Assessment-of-the-Status-of-Dairying.pdf,✅ (cached),pdfs
2018-19-COMPARATIVE-ECONOMICS-OF-COFFEE-CULTIVATION-IN-VISAKHAPATNAM-AND-KORAPUT-DISTRICTS.pdf,DAFW,PDF,Unknown,2018-19-COMPARATIVE-ECONOMICS-OF-COFFEE-CULTIVATIO,https://desagri.gov.in/wp-content/uploads/2024/03/2018-19-COMPARATIVE-ECONOMICS-OF-COFFEE-CULTIVATION-IN-VISAKHAPATNAM-AND-KORAPUT-DISTRICTS.pdf,✅ (cached),pdfs
2018-19-Electronic-National-Agricultural-Market-e-NAM-A-Review-of-Performance-and-Prospects-in-Haryana-1.pdf,DAFW,PDF,Unknown,2018-19-Electronic-National-Agricultural-Market-e-,https://desagri.gov.in/wp-content/uploads/2024/03/2018-19-Electronic-National-Agricultural-Market-e-NAM-A-Review-of-Performance-and-Prospects-in-Haryana-1.pdf,✅,pdfs
2018-19-Electronic-National-Agricultural-Market-e-NAM-A-Review-of-Performance-and-Prospects-in-Haryana.pdf,DAFW,PDF,Unknown,2018-19-Electronic-National-Agricultural-Market-e-,https://desagri.gov.in/wp-content/uploads/2024/04/2018-19-Electronic-National-Agricultural-Market-e-NAM-A-Review-of-Performance-and-Prospects-in-Haryana.pdf,✅,pdfs
2018-19-IMPACT-OF-NATIONAL-FOOD-SECURITY-MISSION-ON-INPUT-USE-YIELD-AND-INCOME-1.pdf,DAFW,PDF,Unknown,2018-19-IMPACT-OF-NATIONAL-FOOD-SECURITY-MISSION-O,https://desagri.gov.in/wp-content/uploads/2024/04/2018-19-IMPACT-OF-NATIONAL-FOOD-SECURITY-MISSION-ON-INPUT-USE-YIELD-AND-INCOME-1.pdf,✅,pdfs
2018-19-IMPACT-OF-NATIONAL-FOOD-SECURITY-MISSION-ON-INPUT-USE-YIELD-AND-INCOME.pdf,DAFW,PDF,Unknown,2018-19-IMPACT-OF-NATIONAL-FOOD-SECURITY-MISSION-O,https://desagri.gov.in/wp-content/uploads/2024/04/2018-19-IMPACT-OF-NATIONAL-FOOD-SECURITY-MISSION-ON-INPUT-USE-YIELD-AND-INCOME.pdf,✅,pdfs
2018-19-Performance-Evaluation-of-PMFBY-in-Bihar-1.pdf,DAFW,PDF,Unknown,2018-19-Performance-Evaluation-of-PMFBY-in-Bihar-1,https://desagri.gov.in/wp-content/uploads/2024/03/2018-19-Performance-Evaluation-of-PMFBY-in-Bihar-1.pdf,✅,pdfs
2018-19-Performance-Evaluation-of-PMFBY-in-Bihar-2.pdf,DAFW,PDF,Unknown,2018-19-Performance-Evaluation-of-PMFBY-in-Bihar-2,https://desagri.gov.in/wp-content/uploads/2024/03/2018-19-Performance-Evaluation-of-PMFBY-in-Bihar-2.pdf,✅,pdfs
2018-19-Performance-Evaluation-of-PMFBY-in-Bihar.pdf,DAFW,PDF,Unknown,2018-19-Performance-Evaluation-of-PMFBY-in-Bihar,https://desagri.gov.in/wp-content/uploads/2024/03/2018-19-Performance-Evaluation-of-PMFBY-in-Bihar.pdf,✅,pdfs
2018-19-Performance-Evaluation-of-Pradhan-Mantri-Fasal-Bima-Yojana-PMFBY-in-West-Bengal.pdf,DAFW,PDF,Unknown,2018-19-Performance-Evaluation-of-Pradhan-Mantri-F,https://desagri.gov.in/wp-content/uploads/2024/04/2018-19-Performance-Evaluation-of-Pradhan-Mantri-Fasal-Bima-Yojana-PMFBY-in-West-Bengal.pdf,✅,pdfs
2018-19-PERFORMANCE-EVALUATION-OF-PRADHAN-MANTRI-FASAL-BIMA-YOJANA-PMFBY-PART-I-Governance-Analysis.pdf,DAFW,PDF,Unknown,2018-19-PERFORMANCE-EVALUATION-OF-PRADHAN-MANTRI-F,https://desagri.gov.in/wp-content/uploads/2024/03/2018-19-PERFORMANCE-EVALUATION-OF-PRADHAN-MANTRI-FASAL-BIMA-YOJANA-PMFBY-PART-I-Governance-Analysis.pdf,✅ (cached),pdfs
2018-19-PRADHAN-MANTRI-FASAL-BIMA-YOJANA-PMFBY-PART-II-Uptake-and-Willingness-To-Pay.pdf,DAFW,PDF,Unknown,2018-19-PRADHAN-MANTRI-FASAL-BIMA-YOJANA-PMFBY-PAR,https://desagri.gov.in/wp-content/uploads/2024/03/2018-19-PRADHAN-MANTRI-FASAL-BIMA-YOJANA-PMFBY-PART-II-Uptake-and-Willingness-To-Pay.pdf,✅ (cached),pdfs
2018-19-Price-Volatility-and-Major-Issues-in-Demand-and-Supply-Management-of-Onion-in-Gujarat.pdf,DAFW,PDF,Unknown,2018-19-Price-Volatility-and-Major-Issues-in-Deman,https://desagri.gov.in/wp-content/uploads/2024/03/2018-19-Price-Volatility-and-Major-Issues-in-Demand-and-Supply-Management-of-Onion-in-Gujarat.pdf,✅ (cached),pdfs
2018-19-Solarisation-of-Agricultural-Water-Pumps-in-Rajasthan.pdf,DAFW,PDF,Unknown,2018-19-Solarisation-of-Agricultural-Water-Pumps-i,https://desagri.gov.in/wp-content/uploads/2024/03/2018-19-Solarisation-of-Agricultural-Water-Pumps-in-Rajasthan.pdf,✅ (cached),pdfs
